,,X11BR047,X11BR043,X11BR049,X11BR023,X18BR010,X06BR003,X11BR074,X18BR017,X01BR017,X06BR006,X09BR005,X11BR017,X01BR015,X11BR025,X01BR001,X11BR031,X01BR032,X05BR045,X11BR053,X01BR027,X14BR008,X18BR002,X03BR013,X11BR032,X21BR010,X03BR004,X11BR003,X11BR028,X18BR004,X20BR005,X11BR073,X11BR009,X18BR019,X20BR001,X09BR007,X11BR020,X20BR002,X11BR019,X20BR008,X01BR033,X11BR022,X11BR013,X03BR010,X20BR007,X11BR030,X18BR007,X11BR050,X05BR001,X11BR014,X22BR005,X11BR010,X01BR031,X11BR011,X03BR005,X18BR003,X11BR024,X05BR016,X01BR030,X01BR018,X05BR042,X11BR054,X05BR044,X11BR006,X14BR005,X11BR044,X11BR016,X11BR055,X06BR005,X11BR042,X11BR018,X05BR009,X01BR025,X11BR015,X11BR040,X11BR004,X01BR043,X05BR003,X05BR029,X05BR043,X05BR026,X11BR056,X11BR038,X11BR036,X18BR009,X18BR006,X22BR006,X11BR072,X11BR027,X01BR040,X11BR059,X11BR051,X05BR038,X11BR060,X09BR004,X11BR075,X03BR002,X16BR012,X06BR014,CPT001846,X18BR016,X05BR005,X13BR009,X11BR080,CPT000814,X01BR042,X15BR003,X14BR014,X11BR058,X11BR012,X01BR009,X01BR008,X21BR001,X21BR002,X01BR026,X05BR004,X03BR006,X01BR023,X01BR020,X20BR006,X09BR001,X03BR011,X01BR010
THRAP3,S211s ,-0.9367,-1.4352,-0.594,1.0204,-0.9734,-0.6656,0.2972,-0.4051,2.2515,-0.1516,0.0514,0.3306,1.5434,-0.5936,3.8496,0.115,-0.3146,-0.4714,0.1489,2.8429,-4.1696,-0.2909,-0.3106,-1.1702,-1.0619,-0.7765,-0.7141,-0.236,-0.6461,0.7852,-0.4271,-0.6896,-1.4604,-0.4311,-1.2488,-0.8766,0.6535,-0.3796,-0.2684,0.6372,-0.7087,-0.5806,-0.5825,0.0849,-0.077,-0.208,-1.2206,-0.0409,-0.6544,-1.1333,-0.3664,1.2321,-0.7611,-0.9352,-1.1791,-1.3815,-1.5387,-0.157,-0.4428,-0.6419,-1.5689,-0.5544,-0.4982,-0.4736,-0.0211,1.1666,-0.4954,0.6876,-0.4339,-1.4464,-1.0765,-0.623,-0.3677,-0.4269,-1.1035,-0.7027,0.1574,1.5519,0.1155,-1.1437,-0.5915,-0.7824,1.183,-0.1103,0.3591,-1.0777,-1.031,-1.231,-2.5451,-1.0286,-0.977,-0.3274,-1.0457,0.1168,-1.3508,-0.7366,-0.8551,-0.9797,-1.9879,-2.1217,-1.1447,0.3251,-0.118,-1.4651,-0.7582,-1.278,-0.7309,-0.3097,-0.9138,0.504,-0.0414,-0.1686,0.5379999999999999,-0.3067,0.0794,1.1256,-0.1083,1.3126,0.5581,-0.3345,0.2726,1.3821
TP53BP1,S1623s ,-2.9824,-0.1447,-0.915,0.9289,-0.4862,-0.9206,-1.6936,-2.276,1.1259,-1.6639,0.6592,0.2819,-0.5327,-2.4488,-1.5933,0.149,0.5998,-0.1181,0.8707,1.595,-0.6288,1.0056,-0.6219,-1.1482,-2.3565,-1.5503,-1.6933,-0.4998,-0.2263,1.8647,0.5585,-0.7113,-0.7939,-1.0182,-0.693,0.4405,0.7786,-3.5501,-1.7545,-1.0727,-0.2895,-1.2064,-2.9475,-0.0844,0.0014,-2.3426,-2.481,0.4508,-2.535,-0.5954,-0.0143,2.2058,-2.3198,-2.2026,,2.5738,-2.7155,-3.0496,1.4943,2.0769,-0.8128,-1.4607,-1.0575,-0.9282,-0.4084,2.3154,0.2636,-0.5325,0.1514,-2.9876,-1.8969,-0.5456,-0.9457,-3.1839,-0.4127,0.9533,-1.4288,-0.3425,1.9033,-2.6298,-2.3692,0.9372,0.969,-1.2713,-0.0168,-1.9699,-2.7233,-1.3333,1.699,0.0814,-0.7263,-1.2564,0.2359,1.475,-0.5889,-1.5028,-1.5164,-1.3195,-0.8259,-2.3433,-1.9545,-1.8472,1.8733,3.4913,1.1846,-1.5336,-1.8,-0.4445,-1.1998,-1.0349,0.5999,-0.6688,-1.8249,-0.7302,-3.023,-0.1301,-1.9619,1.8981,0.5962,-2.6591,-0.6309,-2.8392
TPR,T1672t ,-2.0566,1.9597,-0.0372,2.1907,-0.3731,0.2862,-1.161,-1.0036,0.2057,-1.8495,-0.3361,-0.4446,-0.3955,-0.0516,-1.1711,-0.6277,-0.9142,0.5778,-0.4585,1.0053,-2.0052,-0.1797,-2.3669,-2.1954,-3.741,-1.4069999999999998,-1.4021,0.5713,-1.7956,0.6752,0.7108,-0.6787,-1.5826,-3.4446,-3.3960000000000004,-1.1434,-0.1374,-0.7472,-0.1879,-1.4692,-0.4161,-0.5942,-1.5801,1.8154,-1.6597,-1.0982,-3.7693,-0.1547,-3.4209,-0.1099,-1.9868,-0.0862,-1.7389,-3.6778,-0.1021,2.5247,-0.9404,-1.7308,0.9523,2.4329,-1.0182,,,,,,,,,,-2.7085,-1.217,-0.2358,-3.6586,-2.2667,-1.0778,-1.1868,0.9447,2.0813,-1.6497,-3.6283,-1.2419,2.1514,-1.9132,1.1545,-1.7852,-2.3815,-1.402,-0.7006,-1.418,-0.6962,-1.5802,-1.0257,1.4344,-1.6616,-4.5783,-1.1412,-2.1177,-1.4835,-2.1736,-0.6674,-1.912,1.9561,1.0043,0.7145,-2.1785,-3.2449,-0.4253,-1.8877,0.2591,1.1476,-0.4005,-0.7583,-1.1291,-1.8305,1.6797,-2.5958,0.588,0.6268,-1.9804,-0.4767,-2.8797
TRPS1,S103s ,-1.7285,1.7719,-0.7252,2.8257,0.8991,-1.2281,-0.9922,-4.2302,2.115,-1.2552,-1.0227,-5.4163,1.5234,1.0855,-0.4776,0.9185,0.5017,1.5679,-0.2757,1.5279,-2.7326,-0.9217,-0.7766,-2.6998,-3.8834,-1.6158,-1.5758,-0.3962,-0.4049,-1.0514,1.8317,-1.67,-2.3004,-1.4803,0.488,-3.3601,0.8937,-1.4066,-4.3721,0.6346,0.311,-0.1004,-1.3449,2.2603,-2.4957,0.8775,-3.8415,-0.5088,-2.2368,1.588,-1.3106,-0.2585,-1.5724,-1.6251,-0.1074,-0.5119,-2.7838,-1.4413,0.4606,0.8091,-0.3553,-3.1292,-1.9041,0.442,3.2708,-0.6644,-1.4287,-0.8525,-3.9337,-2.7273,-2.0416,0.4969,1.9241,-2.3969,-1.8637,-2.9231,-1.6558,2.0616,1.5215,-1.3343,-1.9189,-1.9526,-3.3080000000000003,-2.9859,-0.0103,-1.6406,-1.5127,-0.5406,0.4747,-1.5381,-0.7093,-1.5094,-0.2871,1.3938,0.8721,-1.3968,-0.244,-0.8106,-3.5999,-2.0663,-3.796,-0.9991,2.436,2.3621,1.3251,-1.435,-0.4764,-3.488,-0.5874,-0.4121,1.2222,0.084,-1.2251,0.5387,-0.6944,2.7994,-0.5773,2.6661,2.0482,-0.1834,-0.4536,-2.7674
UFD1L,S247s ,-1.5976,2.5635,-1.36,0.9632,-1.883,0.1908,-1.4666,-0.8966,1.1795,-1.0486,-0.6706,0.2672,-0.9142,-0.4676,0.946,-1.3649,-1.2606,0.59,0.0558,1.4924,-1.5765,-0.7308,-2.0683,-2.3366,-3.0066,0.0669,-0.4923,1.1878,-0.0196,-0.5014,0.6219,0.2326,-2.2944,-1.8814,-1.423,-0.4515,-0.6036,-0.9675,-0.1816,0.2249,-0.5564,-0.7561,-2.0746,1.8213,-0.4989,-1.1594,-1.795,-0.1106,-1.7521,0.5829,-0.948,0.7252,-0.8475,-0.7561,-1.7177,1.0986,-1.6501,-0.5696,1.2597,1.6668,-0.6288,-0.2483,0.2468,-0.4048,0.0169,1.3591,-1.2244,-1.0857,-0.9647,-2.0443,-1.9897,-1.2397,-1.4692,-3.0854,0.0756,0.5698,-0.8603,0.9828,2.2216,-1.3789,-2.2732,-1.2831,1.6666,-1.4581,2.1606,-2.1791,-2.446,-1.5083,-0.6015,0.0741,-1.0845,-1.9182,0.701,1.2618,1.2523,-1.5876,-2.2129,-1.9085,-0.7982,-2.4489,-1.7701,0.1527,1.0715,0.7276,1.5176,-2.3448,-1.3884,-1.085,-1.7473,-0.6373,1.019,-0.7397,-1.318,-0.4954,-1.7015,1.2043,-0.8859999999999999,1.2986,0.9215,-0.6691,-0.8482,-1.3926
WRN,S1133s ,-0.5534,-0.2558,-0.7323,2.6477,-1.3941,0.4614,-0.9514,-0.5953,1.1719,-1.5468,-1.243,-0.2821,-1.4071,0.8502,-0.409,-2.0718,-0.389,1.3966,0.1348,2.2558,-2.3704,-1.7252,-0.406,-1.2876,-3.0591,-2.6148,0.3159,,,,,,,,,,0.7358,-1.6344,-1.6225,-1.2544,-0.2758,0.2506,-1.7331,-0.4329,-0.1884,-0.1907,-2.2299,0.3829,-1.6417,0.6809,-1.1687,1.4897,-2.0957,-1.0698,0.0614,0.0226,-0.351,-0.9972,-0.104,1.7509,0.0429,-1.22,-0.4881,1.0279,-0.3885,0.5568,-1.1063,-0.8489,-0.6337,-1.8234,-1.4696,1.0682,0.0238,-0.7878,-0.8097,0.595,-1.0194,1.7894,0.9168,-0.9548,-1.4793,-0.4243,0.8104,-0.221,-1.1033,-0.8389,-1.1408,-0.7519,1.4621,-0.7156,-0.2079,-0.9609,0.3776,-0.0618,0.0435,-1.0046,-1.4513,-1.1662,0.0464,-1.2075,-1.1132,,,,,,,,,-0.1007,1.646,0.4232,-1.3892,-0.006,-1.0885,1.519,-0.4005,1.8765,0.4542,-0.835,-0.2655,-1.2367
XRCC6,T455t ,-2.3058,0.7661,-1.3778,0.263,-0.3747,0.0059,-1.3676,-1.9054,-0.2621,-0.2377,-0.5692,0.2965,-0.2798,-0.3325,-0.2688,-1.0858,-1.0249,-0.5897,,,,,,,,,,0.4613,0.1794,1.214,0.4062,0.2461,-1.6398,-1.616,-1.6282,-1.0023,0.0809,-1.2355,-0.6154,-0.7407,-1.1621,0.0819,-2.2319,0.3999,0.2791,-0.7153,-1.6736,0.282,-1.3479,1.5948,-0.4435,0.8892,-0.5466,-0.986,-1.2413,1.1544,-0.7679,-0.6956,0.8272,1.5091,-0.4624,-0.3865,-0.4844,0.4852,0.8946,1.7472,-0.3572,0.2194,0.212,-0.7176,-0.9551,-0.2573,0.1787,0.1691,0.8596,-0.2714,-0.1724,0.9705,1.6618,-0.6644,-1.0717,0.1964,1.0012,-1.254,-0.0755,-1.2328,-1.0584,-1.3562,-1.0974,0.4126,-0.7885,-0.0764,0.9326,1.4405,-1.2587,-0.785,-0.3035,-1.1627,-0.8199,-1.4291,-1.1211,0.2142,0.9737,1.7496,1.0416,0.0011,-2.1826,-1.1187,-1.5859,0.1775,1.4539,-1.3973,-1.8523,-0.0904,-1.3537,1.1371,-1.0274,0.4069,1.3093,-1.1264,-1.1782,-1.2024
ZC3HC1,S24s T28t ,-2.9446,-0.5143,-2.4984,0.1373,-0.9701,0.8273,-3.0601,-2.173,-0.4384,-1.0022,-0.9262,0.4168,-0.0297,-0.378,0.5513,-1.5725,-1.1815,1.6407,,,,,,,,,,0.9807,-0.7252,0.7926,0.6706,-0.9052,-2.3398,-1.854,-2.2437,-1.5875,0.7665,-1.4677,-1.3735,-0.2032,-1.7404,-1.103,-0.8206,0.5475,,,,,,,,,,,-2.1033,0.6283,-2.5395,-1.4743,-0.9691,3.8028,-0.7561,-0.8946,-1.7912,-0.6289,-0.1568,2.5772,-1.2765,-0.7133,-0.1675,-2.2572,-1.7942,-0.3053,-0.8023,-2.1906,-1.8836,0.3326,-2.4962,0.6803,2.0046,-1.974,-1.9061,-1.8532,0.8452,-1.4391,-0.4297,-2.3708,-0.9336,-1.3374,1.0417,-2.761,-1.6047,-1.0135,-1.2233,1.0,-0.2727,,,,,,,-2.8897,1.8996,0.7004,1.5696,-2.0831,-2.1348,-2.6260000000000003,-2.9178,-0.3108,0.1475,-1.1568,-2.1768,-0.0382,-1.9029,2.2191,-1.3703,2.2119,0.0634,-2.1423,-0.5599,-2.3154
RB1,Y805y S807s ,-0.7632,0.2229,-0.8174,-1.5407,0.337,-0.4846,-0.3242,1.0952,0.6765,-1.0287,-1.6144,0.1697,-1.5686,-0.3507,-1.264,0.3619,1.3923,1.013,2.8804,-1.8077,-2.3911,0.9027,0.2848,-1.2362,-2.2891,-1.0652,-0.0114,1.0098,-0.1319,0.828,1.3854,-1.2049,0.5312,-1.3781,1.2634,0.0631,1.1065,0.0893,-1.1019,-1.6457,1.3907,1.7824,-1.0544,-1.7284,-1.3554,0.9713,-2.0461,0.8251,-1.9266,0.4393,-2.0691,-0.4425,-1.3084,-1.1016,0.7137,-1.033,1.6883,-0.7286,-1.8551,3.2455,-0.4977,0.6714,-1.6395,1.8971,2.0872,-1.6932,-0.3532,-0.7187,1.6329,-1.6183,-0.9087,0.7051,0.8858,0.1054,-1.0042,3.3078,-0.2586,-0.3806,,,,,,,,,,0.6694,0.5695,0.7074,-0.0534,0.6866,0.8647,2.1856,0.2023,-0.6866,-1.3251,0.3639,1.8334,-1.4014,-1.3889,0.3575,-2.1788,0.2862,-0.3862,-1.3642,-2.3261,0.4624,0.0058,1.4231,-0.9018,0.9632,1.1634,-0.8637,-0.2713,-1.2236,-1.6048,0.9886,0.5107,-2.1154,-0.5569,-1.7619999999999998
UBE3A,S94s ,0.9466,-0.9404,-0.7784,-1.02,0.0892,0.5996,0.0571,1.2815,-2.6606,,,,,,,,,,,,,,,,,,,2.246,-0.6678,0.0785,-0.3467,-0.4685,0.9393,0.1149,-0.087,-0.3772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0957,0.0912,-0.5061,0.6052,-1.4886,-1.8907,-0.6426,1.6775,-0.9171,0.878,-3.7101,-0.0951,-1.0411,-0.121,-0.4069,0.3097,-0.8998,-0.361,-0.6935,2.9082,-1.5438,1.3689,-0.5304,,,,,,,,,-1.9162,-1.9621,-0.5770000000000001,0.4925,-1.95,-1.077,-0.4547,-1.3751,-1.4441,-1.3428,-0.6583,2.9737,-2.9108
GARNL3,S424s ,0.9151,-0.6112,-1.3423,-1.0135,0.2422,-0.3795,-0.023,-0.3337,0.0032,,,,,,,,,,0.0876,0.4946,1.1763,1.0222,1.6377,0.9682,0.3862,0.4783,-0.6246,0.2122,-0.0898,-1.4802,2.4789,1.5574,0.2847,0.4779,0.4427,0.3986,,,,,,,,,-0.1444,1.8884,0.629,0.1756,1.6931,-0.4564,0.8931,0.0008,-0.4586,0.1712,2.1907,-2.3069,-1.713,0.7882,-0.7276,-1.6063,1.4883,-0.4489,1.3354,1.2824,0.8186,-0.5243,0.8785,1.6004,0.9709,2.0589,0.6714,1.3205,-0.0063,0.5937,-0.8454,0.0318,-0.5768,-0.7592,-0.2881,0.9109,0.5972,0.8715,-0.43,0.4918,0.4939,1.9214,1.2295,2.8472,-0.8679,0.8147,-0.4379,1.229,-0.3689,-1.3814,4.4945,3.0703,0.6085,2.0979,0.7390000000000001,1.4053,0.7803,0.0742,-0.4981,-0.6942,-0.8114,1.7144,1.4245,0.3549,0.3567,-0.2443,-1.105,1.2003,-1.019,0.2426,0.2185,-1.5285,0.442,-0.8343,-1.5474,-1.1723,2.1782,1.1186
SHROOM3,S1118s S1138s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4661,1.1097,2.2781,1.8538,1.7025,3.3539,2.5097,3.6008,4.1729,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3771,3.5286,-0.1056,1.6356,2.2029,-0.8558,-0.6826,0.4206,-0.398,0.6522,1.3459,-0.7832,-0.6558,,,,,,,,,,,,,
TPD52,S171s S176s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4184,-4.1277,0.3441,-4.2608,-3.9663,-1.8777,-1.0490000000000002,-2.9223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6781,-1.187,-0.0736,0.9684,-3.3407,-2.724,0.8766,-4.5867,,,,,,,,,,,,,
REM2,S27s T33t ,-0.7474,-2.0936,-0.3866,-3.2367,-1.2494,-2.9935,1.2358,-1.3088,0.583,0.4991,-0.3136,-0.9062,-0.0511,-0.0425,1.0558,5.9505,2.2798,-0.5866,2.0537,-0.3558,1.1423,0.9259,0.6158,-0.046,1.4522,2.3146,-0.4456,1.7298,-1.0097,-0.3037,-3.0772,-1.4069,1.0182,-1.2043,2.065,1.9386,-0.2789,0.3379,-0.7436,0.4976,1.7192,-0.3507,1.808,-1.6102,-0.7797,-2.2947,-1.3847,2.8287,-1.0884,0.3618,0.0593,-0.0377,-1.3404,0.6735,-0.2105,-1.2428,-2.0004,1.3748,-1.8951,-0.9408,0.2017,-0.963,-0.1019,2.4046,1.367,1.5193,-1.659,-0.7332,-2.4724,-1.6183,1.4067,0.5196,-0.0665,-1.2519,-1.3238,-1.3833,0.6712,-0.9844,-2.1265,-1.3593,1.2268,-0.5387,-1.5415,-1.1796,1.9737,3.1831,2.4895,-0.056,-0.9257,1.741,0.0503,0.5712,1.5275,0.5432,-2.0179,-0.1687,-2.1145,4.9942,-0.5967,2.271,-1.726,-0.2346,-0.5527,-1.134,-0.5126,-0.7424,-1.1527,1.1671,0.1128,,,,,,,,0.6541,-0.4542,-1.1107,-0.3965,0.5563,-1.3583
API5,S464s ,-0.4509,0.3622,0.5213,1.4855,-1.5521,-2.6684,-1.4942,-1.2771,-0.6869,-1.4098,-0.0177,-1.2166,-0.3312,-1.3633,-2.3752,-1.3309,-0.0646,0.0138,-0.1176,-0.0451,-1.8441,-1.2803,-1.6509,-1.1262,-1.4891,-1.9332,1.2671,-1.2101,2.5091,-1.6443,0.0446,-0.4021,1.2903,2.4132,-3.1742,-2.2698,-3.3294,0.1027,-1.7796,-0.3587,-1.3692,0.0452,-1.2967,0.6716,-0.0409,-3.3266,-2.9668,-1.5968,-2.5947,-1.033,-0.7763,0.8340000000000001,-0.6778,-1.0825,-1.2076,0.0548,-0.8523,-0.5591,-0.8109999999999999,-1.9322,-0.1764,-0.9778,-1.0952,-0.8274,0.4603,1.0942,-1.4548,-0.6826,-1.2513,-1.6104,-1.7457,-1.763,0.7983,-1.0563,-1.2027,-1.8339,-0.2619,0.7139,0.2052,-1.452,-1.4835,-0.7056,-1.1263,-2.2229,-0.3145,-1.2066,-2.4419,-1.0076,-4.6161,-1.6892,-0.7697,-1.2786,-0.1973,-0.5714,1.7619999999999998,-1.9026,2.1613,-0.4708,-2.4488,-3.1934,-2.4806,-0.1169,-1.2246,-5.1323,-0.9732,-2.9451,-1.619,-2.0642,-0.6119,-0.5134,0.684,-0.3728,-0.8586,-0.1257,-0.4828,0.7699,-0.324,0.0408,-0.8863,-0.1766,-0.8436,-1.0044
PHLDB1,S192s ,1.1154,-0.9444,-0.61,-0.2675,1.2948,-0.1654,1.671,0.6691,1.7899,0.6284,-0.0837,-0.2122,0.429,-0.6543,1.0238,-0.3252,-0.2197,-0.0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBX1,S46s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8195,2.573,-0.6405,3.1180000000000003,1.193,2.7476
DDHD1,T219t S225s ,,,,,,,,,,,,,,,,,,,2.7837,0.0365,1.4528,-2.6266,-0.3286,0.8123,0.5024,-1.6506,1.3793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLXNC1,S978s ,1.4672,0.6611,1.8476,0.4752,0.5665,0.111,-0.5818,1.1963,-0.2176,-0.9204,1.6786,-0.5665,-1.5043,-1.6548,-2.6404,0.4979,-1.6687,-1.3341,-3.0579,-1.0916,-0.5993,0.994,-0.5553,0.3795,-0.0671,-1.7387,-0.0702,-0.448,-1.7676,0.7255,1.3431,-0.7452,0.4819,-0.4921,-0.0416,0.0574,-1.8661,-0.5567,0.2307,-0.4562,-1.6173,-1.5179,-2.3184,0.1262,-0.1993,-1.7299,-0.208,-0.2886,2.1778,-1.5754,0.8598,-0.2351,0.9689,-0.736,0.2516,0.7704,0.4737,-0.268,0.0228,-0.9859,-1.3899,0.2895,-0.6549,-0.9475,0.1508,-0.5998,-0.3112,-1.3279,0.537,-0.9999,-1.7457,-2.4357,-1.3501,-1.1655,0.1431,-1.7452,-1.9227,-2.0901,-0.6179,0.2177,1.5895,-1.105,-1.0541,-0.266,0.7698,0.9177,-0.8677,1.9629,-0.6178,0.5418,0.0503,-0.289,0.0802,-0.0435,-1.9872,-1.7375,-1.0984,-1.0215,-0.9092,-1.3062,0.0966,1.3045,0.5332,-1.5754,-0.5173,-0.1974,-1.9691,2.4256,-1.0436,-1.3478,1.2777,0.0114,3.4535,0.3991,0.1924,-0.9941,-1.9548,-2.3115,-1.8818,-1.6607,-1.4326,0.0587
CKMT1A,S263s ,,,,,,,,,,2.1595,3.1804,2.5979,-0.8813,3.9624,-1.1787,-2.6838,-1.0328,-1.2128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA1,S49s T53t ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3312,0.6729,-0.7743,-1.5751,-0.7594,-1.6218,-0.0252,0.4373,0.5919,1.3322,1.5031,0.638,0.0727
CCDC12,S178s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6174,-0.912,-1.0653,0.429,-0.4739,-0.4788,0.6134,-0.6228,2.2863,,,,,,,,,,,,,,,-0.006,-0.5772,-0.112,-0.0921,3.7986,0.3673,-0.1267,-0.8296,,,,,,,,,,,,,
BOD1L1,S637s S648s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0494,0.1314,-1.21,0.8717,0.4961,0.2099
SGO1,S436s ,-0.2663,0.0472,-1.1703,0.1846,0.5997,0.2259,-1.6892,-0.9422,-0.5688,-0.3791,-1.013,0.9109,0.1675,-0.041,-0.3602,-0.8191,-0.9537,1.3405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLE3,S207s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0017,0.8157,-0.2445,0.5819,1.0126,0.3785,-0.8362,-0.4428,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2308,1.0615,0.3451,0.947,1.0164,-1.1964,0.9596,-0.2596,,,,,,,,,,,,,,,,,,-1.3862,-0.1697,-0.2495,-0.9961,1.8364,-0.6973,,,,,,,,,,,,,,,,0.4455,-0.4618,-0.8405,0.1823,1.2639,-0.847
TJP1,S837s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4969,0.3743,0.2341,-0.6816,0.5436,0.5666,-0.2589,0.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOD1L1,T1521t ,0.5239,-0.1689,0.3316,-1.1163,-0.9817,-0.7999,-0.3489,2.5341,-0.5381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1136,-1.2073,1.6876,-0.7253,1.7453,-0.7025,2.2017,2.4534,1.7643,,,,,,,,,,,,,,,,,,,,,,,,,,-0.965,2.1831,3.1517,2.1823,-0.5138,0.9296,-0.5014,0.8793,-0.8251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNRC6B,S721s ,0.0381,-0.6435,-1.4398,-3.0049,-1.9179,-1.6719,-2.056,-0.8788,-2.63,-0.7116,0.5434,-0.3308,-1.5829,-0.003,-1.0004,2.0047,-0.1738,-0.1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POC1B,S414s ,0.8552,-0.0316,-0.9593,0.2907,0.5781,0.5431,0.6945,0.0508,0.1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7034,0.7398,-0.4168,-0.2428,-0.5718,1.8599,1.1208,0.4235,0.2603,0.0084,-0.3869,-0.3546,-0.286,-0.1259,-0.2963,-0.7537,-0.3466,,,,,,,,,,,,,,,,,,,,,,,,,,0.9212,1.114,0.4798,-0.503,-1.0837,0.4053,0.1918,0.7068,0.3552,,,,,,,,,,,,,,,,,,,,,,,-0.3562,1.6698,1.7073,1.4861,0.0032,2.0704,0.0928,,,,,,
PRPF4B,S437s T439t ,,,,,,,,,,,,,,,,,,,-0.0575,-0.1991,-0.8536,-0.5681,-0.102,-0.941,0.7684,0.1385,0.8783,,,,,,,,,,-2.5254,-0.1652,2.4448,0.5858,0.5608,1.1607,0.1884,0.2404,,,,,,,,,,0.6269,0.0437,1.5317,0.9984,-1.0227,-0.6981,3.4198,-1.0283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1914,1.8484,-0.7306,0.4346,0.1354,0.7882
SHROOM3,S1662s ,1.4719,0.2512,0.0851,-2.3748,-0.4812,0.3329,0.8240000000000001,1.9514,-1.1608,0.2837,-1.2221,1.7121,-0.2326,-0.1108,0.1489,0.3584,0.3546,-1.9891,,,,,,,,,,,,,,,,,,,0.2806,1.1536,-0.0848,-0.2283,0.0424,0.4329,0.527,-1.2637,,,,,,,,,,-0.9479,1.151,-2.9615,0.5096,2.1504,-0.9813,-1.4169999999999998,-1.8083,0.5629,1.0093,1.9884,1.4104,-0.9509,-0.6256,-0.0409,0.9527,0.6549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4853,-3.0615,-2.9268,0.1181,3.1336,0.1265,-0.7559,0.9165,-0.6857,-2.4907,2.7284,0.7277,-0.7440000000000001,1.2039,-1.0416,-0.0694,-2.892,-1.6314,0.3995,1.1098,1.1202
SSFA2,S1174s S1175s ,-0.3925,-1.4291,2.0516,-1.7137,-0.0954,3.1786,0.7367,0.6037,0.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4874,-0.2843,-1.9961,4.0004,-0.9112,0.3011,-0.0646,,,,,,
